SNR_dB,Bias_1.0_sigma,Bias_2.0_sigma,Bias_3.0_sigma
0,0.17187007874015747,0.1589763779527559,0.15791338582677164
5,0.05655511811023622,0.03897637795275591,0.0371259842519685
10,0.006633858267716536,0.0011023622047244095,0.000610236220472441
15,0.000531496062992126,0.0,0.0
20,5.905511811023622e-05,0.0,0.0
25,3.937007874015748e-05,0.0,0.0
30,3.937007874015748e-05,0.0,0.0
