SNR_dB,Bias_1.0_sigma,Bias_2.0_sigma,Bias_3.0_sigma
0,0.0050886868928472,0.0083377626717348,0.01273468715824103
5,0.003173899185999489,0.004581603231474237,0.006612366480433214
10,0.001758215469515167,0.002819646048458036,0.0036102753916111953
15,0.0010296113539714007,0.0015178697530884029,0.001957995472754846
20,0.0006486922811607474,0.0008048530988382453,0.001118005155899329
25,0.0003293785540658536,0.00046011904364277835,0.0006170959591043538
30,0.00018318310793604943,0.00024655657145636534,0.0003746227297762918
